"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.644557875E0,-2.395019531E-3,9.789642334E-2,9.823771362E0,9.824259424E0
2.654574875E0,1.062789917E-2,1.035845947E-1,9.804311829E0,9.804864770E0
2.664591875E0,-1.496887207E-4,9.550140381E-2,9.771529999E0,9.771996677E0
2.674607875E0,-1.137634277E-2,9.699829102E-2,9.768835602E0,9.769323779E0
2.684624875E0,-9.580078125E-3,1.004411316E-1,9.775721283E0,9.776241957E0
2.694641875E0,-1.107696533E-2,1.064286804E-1,9.758507080E0,9.759093718E0
2.704657875E0,-8.532257080E-3,1.052311707E-1,9.753866730E0,9.754438097E0
2.714674875E0,-1.062789917E-2,1.043330383E-1,9.764045563E0,9.764608752E0
2.724691875E0,-7.634124756E-3,1.215472412E-1,9.736203461E0,9.736965125E0
2.734707875E0,-6.286926270E-3,1.188528442E-1,9.725874939E0,9.726603151E0
2.744724875E0,-1.092727661E-2,1.148112488E-1,9.770781555E0,9.771462185E0
2.754741875E0,2.245330811E-3,1.179547119E-1,9.756411438E0,9.757124705E0
2.764757875E0,-8.681945801E-3,1.362167358E-1,9.762398987E0,9.763353131E0
2.774774875E0,-1.796264648E-3,1.122665405E-1,9.783954163E0,9.784598411E0
2.784791875E0,4.191284180E-3,1.008901978E-1,9.750723267E0,9.751246106E0
2.794807875E0,-1.077758789E-2,1.164578247E-1,9.756261749E0,9.756962740E0
2.804824875E0,2.844085693E-3,1.143621826E-1,9.804611206E0,9.805278563E0
2.814841875E0,-5.987548828E-4,1.175056458E-1,9.790690155E0,9.791395286E0
2.824857875E0,-9.430389404E-3,1.305285645E-1,9.734556885E0,9.735436528E0
2.834874875E0,-4.640350342E-3,1.413061523E-1,9.764045563E0,9.765069109E0
2.844891875E0,-1.167572021E-2,1.420545959E-1,9.806706848E0,9.807742607E0
2.854907875E0,-8.532257080E-3,1.426533508E-1,9.782307587E0,9.783351394E0
2.864924875E0,1.496887207E-4,1.413061523E-1,9.769284668E0,9.770306565E0
2.874941875E0,8.981323242E-4,1.416055298E-1,9.812095642E0,9.813117436E0
2.884957875E0,7.484436035E-3,1.323248291E-1,9.846823425E0,9.847715341E0
2.894974875E0,5.987548828E-3,1.285826111E-1,9.799072723E0,9.799918141E0
2.904991875E0,8.981323242E-4,1.320254517E-1,9.783804474E0,9.784695269E0
2.915007875E0,4.041595459E-3,1.170565796E-1,9.844727783E0,9.845424506E0
2.925024875E0,-1.332229614E-2,9.954299927E-2,9.822573853E0,9.823087263E0
2.935041875E0,-9.280700684E-3,1.028361511E-1,9.766141205E0,9.766687025E0
2.945057875E0,-1.556762695E-2,1.032852173E-1,9.784253540E0,9.784811062E0
2.955074875E0,-8.382568359E-3,9.505233765E-2,9.795629883E0,9.796094631E0
